dataset,kind,key,count
JIT cycles,pattern_count,Pure JIT,18013
JIT cycles,top_origin,0xdd8ef55055e01d39cb87571bd38c43ab9b5903a5,2113
JIT cycles,top_origin,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,1312
JIT cycles,top_origin,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,1158
JIT cycles,top_origin,0xfc23b61db3a1dce083e82da5a2ccfd91a2211f7c,1062
JIT cycles,top_origin,0x1c8f6a5f009e051cab9c3851ca2da2c936b2775a,1000
JIT cycles,top_origin,0x93f635372008b7c5d770aaa6ff313454c8dc498c,959
JIT cycles,top_origin,0x042523db4f3effc33d2742022b2490258494f8b3,942
JIT cycles,top_origin,0x0cac3d1a887206e0f6169222c4504301a8b4b993,934
JIT cycles,top_origin,0x479bc00624e58398f4cf59d78884d12fb515790a,802
JIT cycles,top_origin,0x4603180bbb8221157880afaa84638e0fc467738d,670
JIT cycles,top_origin,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,616
JIT cycles,top_origin,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,603
JIT cycles,top_origin,0xeca2e2d894d19778939bd4dfc34d2a3c45e96456,570
JIT cycles,top_origin,0x76e40d0a69fd81826b5eb7d18145626d46eafdef,513
JIT cycles,top_origin,0x26bce6ecb5b10138e4bf14ac0ffcc8727fef3b2e,487
JIT cycles,top_origin,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,469
JIT cycles,top_origin,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,456
JIT cycles,top_origin,0x36a454aef52938c8637cd4689b2980c1cfd43389,399
JIT cycles,top_origin,0xfb9779477e5b4834bf2bc02dd29b97b344d0f700,372
JIT cycles,top_origin,0x431b5a84acc1297eda88259f300262f1bc3a74f3,352
JIT cycles,top_origin,0x9aab3f81604c683a1a0d14019fbfe15bef7aa1ee,349
JIT cycles,top_origin,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,332
JIT cycles,top_origin,0xff82bf5238637b7e5e345888bab9cd99f5ebe331,316
JIT cycles,top_origin,0x60b86af869f23aeb552fb7f3cabd11b829f6ab2f,292
JIT cycles,top_origin,0xbf2d5d8ebf05947245b3d7f38b2776a6a49710dd,127
Sandwich attacks,pattern_count,Classical,2006
Sandwich attacks,pattern_count,JIT-Sandwich,499
Sandwich attacks,top_origin,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,746
Sandwich attacks,top_origin,0x654fae4aa229d104cabead47e56703f58b174be4,326
Sandwich attacks,top_origin,0x4970197593ef5aed9d2c33409b953f5f9bb22563,139
Sandwich attacks,top_origin,0xb58555fcba6479fced7de1485eb054943a09af7b,117
Sandwich attacks,top_origin,0xfac983fce7ef3cee8ffb2ceb967e1b2362aada00,115
Sandwich attacks,top_origin,0x7aa0426f10c7603bbfb8ceb8afb8d8c329ccfe8b,88
Sandwich attacks,top_origin,0xfe23f3d1ee716dc77cae278f75b2f7b49b237fde,87
Sandwich attacks,top_origin,0xa6ae57b1da8238cd149bc718c40578e4620b752c,83
Sandwich attacks,top_origin,0x3eadde4a48d0aebda37eed7076e736edac9a8b40,65
Sandwich attacks,top_origin,0x68cc21f7c777243d1a9c71c2349bfdccd8ca7b78,61
Sandwich attacks,top_origin,0x0811fd1808e14f0b93f0514313965a5f142c5539,61
Sandwich attacks,top_origin,0xeea07edef8fc5b4a42beffac4808eac543b62b28,61
Sandwich attacks,top_origin,0x6fb9ea028eecddc6f4845194ab844131a71279fe,58
Sandwich attacks,top_origin,0xe2ca3167b89b8cf680d63b06e8aeefc5e4ebe907,57
Sandwich attacks,top_origin,0x7944e84d18803f926743fa56fb7a9bb9ba5f5f24,57
